url,label,success,num_events,ssl_valid,ssl_invalid,redirects,forms,password_fields,iframes,scripts,suspicious_keywords,external_requests,page_load_time,has_errors,count_ssl_invalid,count_webdriver_error,count_ssl_valid,count_redirects,count_external_requests,count_forms_detected,count_password_fields,count_iframes_detected,count_scripts_detected,count_suspicious_keywords,count_page_load_time
https://pontenyo.web.app/,1,True,9,1,0,1,1,0,1,8,0,1,9037,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
https://ourhairstyle.com,0,True,9,1,0,1,1,0,11,15,1,1,5145,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
https://neads.ca,0,True,9,1,0,1,0,0,0,0,0,0,1562,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
https://demo3.cloudwp.dev/trial-2y94w1y4/wp-admin/maint/MetaMask/_mask/w.php?p=593a869a0880cbba64ae&amp;593a869a0880cbba64ae9e06c35576e7=593a869as593a869a0880cbba64ae&amp;593a869a0880cbba64ae9e06c35576e7=593a869am593a869a0880cbba64ae&amp;593a869a0880cbba64ae9e06c35576e7=593a869a,1,True,9,1,0,1,0,0,0,1,1,1,1813,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
https://cloudflare-ipfs.com/ipfs/bafybeihehvn4zrkq557moqnj3pgwj5vepea7x3v5coirxwiz6qz4rvwe4m,1,False,2,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://ipfs.io/ipfs/QmVeJiRsi3uEXMkiyoHJcekBQXXtWgsWf9cSxHPmNpntNa,1,True,9,1,0,0,2,1,0,8,1,0,3302,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
https://lookerstudio.google.com/reporting/fb82abab-6244-4677-8111-9c48dd4c962d,1,True,9,1,0,1,0,0,4,25,0,1,5767,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
https://docs.google.com/presentation/d/e/2PACX-1vTHL2-Mw87tPrkwefdS6w1B3JeZ7-XWcWtqyGRcyn64TQNO_8TMI8ASwP3qj6x9I3acMBuom0Vq_Q5z/pub?start=false&loop=false&delayms=3000&slide=id.p,1,True,9,1,0,0,0,0,0,22,0,0,3524,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
https://mt8743-53e1d.firebaseapp.com/,1,True,9,1,0,1,0,0,0,2,1,0,486,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
https://pub-79dff8d8c4974aa0881ab592d7ce9dab.r2.dev/ken2web.html,1,True,9,1,0,0,1,1,0,9,1,0,1379,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
