url,label,type
https://pontenyo.web.app/,Phishing,1
https://ourhairstyle.com,Legitimate,0
https://neads.ca,Legitimate,0
https://demo3.cloudwp.dev/trial-2y94w1y4/wp-admin/maint/MetaMask/_mask/w.php?p=593a869a0880cbba64ae&amp;593a869a0880cbba64ae9e06c35576e7=593a869as593a869a0880cbba64ae&amp;593a869a0880cbba64ae9e06c35576e7=593a869am593a869a0880cbba64ae&amp;593a869a0880cbba64ae9e06c35576e7=593a869a,Phishing,1
https://cloudflare-ipfs.com/ipfs/bafybeihehvn4zrkq557moqnj3pgwj5vepea7x3v5coirxwiz6qz4rvwe4m,Phishing,1
https://ipfs.io/ipfs/QmVeJiRsi3uEXMkiyoHJcekBQXXtWgsWf9cSxHPmNpntNa,Phishing,1
https://lookerstudio.google.com/reporting/fb82abab-6244-4677-8111-9c48dd4c962d,Phishing,1
https://docs.google.com/presentation/d/e/2PACX-1vTHL2-Mw87tPrkwefdS6w1B3JeZ7-XWcWtqyGRcyn64TQNO_8TMI8ASwP3qj6x9I3acMBuom0Vq_Q5z/pub?start=false&loop=false&delayms=3000&slide=id.p,Phishing,1
https://mt8743-53e1d.firebaseapp.com/,Phishing,1
https://pub-79dff8d8c4974aa0881ab592d7ce9dab.r2.dev/ken2web.html,Phishing,1
https://docs.google.com/presentation/d/e/2PACX-1vTVlydyeWuF8ZNfKuXB1qcv1l29_B0FEds3MRC0XCYnQuMZrQ12bvx6Vih7DLsAMaaJ2uVfztwJ42VB/pub?start=false&loop=false&delayms=3000,Phishing,1
https://aolmail.kerzejilte.workers.dev/,Phishing,1
https://cf-ipfs.com/ipfs/QmVhGiNq4P1RvAGNoQPRc9mRcgAVYmVjyxRwdBR4wdoWBe,Phishing,1
http://uyaaisuieyurfnkfjkafljahgidusiayuueiwuafnvhaiulakdjfhdjphp.pages.dev,Phishing,1
https://drivesaversdatarecovery.com,Legitimate,0
https://montgomerychamber.com,Legitimate,0
